"authorMeta/avatar","authorMeta/digg","authorMeta/fans","authorMeta/following","authorMeta/heart","authorMeta/id","authorMeta/name","authorMeta/nickName","authorMeta/signature","authorMeta/verified","authorMeta/video","commentCount","createTime","diggCount","downloaded","effectStickers/0/ID","effectStickers/0/name","hashtags/0/cover","hashtags/0/id","hashtags/0/name","hashtags/0/title","hashtags/1/cover","hashtags/1/id","hashtags/1/name","hashtags/1/title","hashtags/2/cover","hashtags/2/id","hashtags/2/name","hashtags/2/title","hashtags/3/cover","hashtags/3/id","hashtags/3/name","hashtags/3/title","hashtags/4/cover","hashtags/4/id","hashtags/4/name","hashtags/4/title","hashtags/5/cover","hashtags/5/id","hashtags/5/name","hashtags/5/title","hashtags/6/cover","hashtags/6/id","hashtags/6/name","hashtags/6/title","hashtags/7/cover","hashtags/7/id","hashtags/7/name","hashtags/7/title","hashtags/8/cover","hashtags/8/id","hashtags/8/name","hashtags/8/title","hashtags/9/cover","hashtags/9/id","hashtags/9/name","hashtags/9/title","hashtags/10/cover","hashtags/10/id","hashtags/10/name","hashtags/10/title","hashtags/11/cover","hashtags/11/id","hashtags/11/name","hashtags/11/title","hashtags/12/cover","hashtags/12/id","hashtags/12/name","hashtags/12/title","hashtags/13/cover","hashtags/13/id","hashtags/13/name","hashtags/13/title","hashtags/14/cover","hashtags/14/id","hashtags/14/name","hashtags/14/title","hashtags/15/cover","hashtags/15/id","hashtags/15/name","hashtags/15/title","hashtags/16/cover","hashtags/16/id","hashtags/16/name","hashtags/16/title","hashtags/17/cover","hashtags/17/id","hashtags/17/name","hashtags/17/title","hashtags/18/cover","hashtags/18/id","hashtags/18/name","hashtags/18/title","id","mediaUrls/0","mentions/0","musicMeta/musicAlbum","musicMeta/musicAuthor","musicMeta/musicName","musicMeta/musicOriginal","musicMeta/playUrl","playCount","searchHashtag/name","searchHashtag/views","shareCount","text","videoMeta/duration","videoMeta/height","videoMeta/width","webVideoUrl"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b6ee5980842eea4a4fa45d7e2e00946~c5_720x720.jpeg?x-expires=1648828800&x-signature=Vwt2B%2Bg9DRXTyouG%2B2Kzbg8%2F2SU%3D","3379","303900","354","3200000","7060517086195614726","sgtjonathan_rltw","SgtJonathan 🇺🇸⚔️","75th Ranger RGT Is The Dreammm🤘🏻🪖🇺🇸
15
Rangers Lead The MF Way😈","false","119","73900","1644695948","1800000","false",,,"","1663935709411330","capcut","CapCut is a new, easy-to-use video editing tool designed for mobile platforms. CapCut provides users with a wide range of video editing functions, filters, audio &amp; visual effects, video templates, while keeping it free of charge and ads-free. Everyone can be a creator by using CapCut.  

Start creating your cool videos today: 
https://capcut.onelink.me/XKqI/228cad85","","229207","fyp","","","1637342470396934","fypシ","","","1614195869624325","fypag","","","20884","viral","","","42164","foryou","","","88764338","foryoupage","","","7221","military","","","9843","usa","","","24740","army","","","46356","germany","","","5599","france","","","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","42801","uk","","","22281825","russiaukraine","","","1713","war","","","27507942","2022","","","9841","america","","7063915307693280517","https://v16m-webapp.tiktokcdn-us.com/3da6fb8694ff4de8886f0a4c31ed3a5b/62462f23/video/tos/useast2a/tos-useast2a-ve-0068c003/2e5c95789c5744e6b836492687061b01/?a=1988&br=712&bt=356&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3c4eWU6ZnY0OzMzNzczM0ApZ2UzZjplPGRpNzs3OmZpZWdlaW8ucjRnLzFgLS1kMTZzc15iLWBeYzAyY2A1XjQuM2I6Yw%3D%3D&vl=&vr=",,"Machines","All Good Things","For the Glory","false","https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/38f59fca238e47eaac5b809c54dfcbf8","19900000","russiaukraine","479.2M","73900","#CapCut #fyp #fypシ #fypag #viral #foryou #foryoupage #military #usa #army #germany #france #ukraine #russia #uk #russiaukraine #war #2022 #america","25","1024","576","https://www.tiktok.com/@sgtjonathan_rltw/video/7063915307693280517"
"https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1649991527942149~c5_720x720.jpeg?x-expires=1648828800&x-signature=8Vp1yxqAcJp%2BhsIJbfVAcdnl3jM%3D","139","3294","106","1100000","6604632308664958981","oigrubby","GrubberGuy","TikTok Casanova","false","38","5261","1645707016","1100000","false",,,"","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","22281825","russiaukraine","","","5370902","kharkiv","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068257806956186881","https://v16m-webapp.tiktokcdn-us.com/a2120decd1aefda0dfd05a7d3cf2d1d3/62462f18/video/tos/alisg/tos-alisg-pve-0037c001/b9caa0c5f0334d3bb1cb0035b287b02e/?a=1988&br=990&bt=495&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3J4cWY6ZnlxOzMzODczNEApZTRpNjpmNmU6NzkzOWVnOGdkY19xcjRfcF9gLS1kMS1zcy8uNGI2MWEwM2EtNDZfYmM6Yw%3D%3D&vl=&vr=",,"","GrubberGuy","original sound","true","https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7068257785561369345.mp3","4000000","russiaukraine","479.2M","8160","#russia #ukraine #russiaukraine  #kharkiv","14","1026","576","https://www.tiktok.com/@oigrubby/video/7068257806956186881"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1b1819c00ac9bf31fa2381d4e6984d9f~c5_720x720.jpeg?x-expires=1648828800&x-signature=2zoixZG7soQOygw3rXNdUijR9F8%3D","132","180700","78","6700000","6920331616390022150","quicktakenews","Bloomberg Quicktake","🎥 Global news and original shows.","true","585","17900","1647103105","762000","false",,,"","13262","us","","","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","15537","texas","","","1649557985627141","ukrainewar","","","22281825","russiaukraine","","","7853134","worldnews","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7074253965654904106","https://v16m-webapp.tiktokcdn-us.com/5e219bcf4fd2f333369b8078dab8748b/62462f36/video/tos/useast5/tos-useast5-pve-0068-tx/d7d733884908428d923907f848c96a05/?a=1988&br=1906&bt=953&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3lrMzo6ZmdmOzMzZzczNEApZ2U5ODozOmRmN2QzO2hmZGdecmAxcjQwbGpgLS1kMS9zcy9fYS01YS9gLzJhNWMxLTY6Yw%3D%3D&vl=&vr=",,"","Bloomberg Quicktake","original sound","true","https://sf16.tiktokcdn-us.com/obj/ies-music-tx/7074253970193091374.mp3","8600000","russiaukraine","479.2M","19800","#US citizens are heading to #Ukraine to fight against #Russia’s invasion. This man from #Texas shares his journey. #UkraineWar #RussiaUkraine #WorldNews","44","1024","576","https://www.tiktok.com/@quicktakenews/video/7074253965654904106"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c0850688f302dbc1df3c6b75962e2e15~c5_720x720.jpeg?x-expires=1648828800&x-signature=lTznnYGzpKDZ3lh6NAxiZKYYtP0%3D","1085","41200","231","1100000","6895277487376008194","themsinstem","Ksen","Science, med and mental health ❤️ 
& translating russian state media!
UCL’ 2022","false","211","6119","1646050974","699600","false","308867","Green Screen","","451042","ukraine","","","22281825","russiaukraine","","","1697892563652614","ukrainerussiaconflict","","","1616209617942534","ukraina🇺🇦","","","7057584570111098907","ukrainerussiacrisis","","","223985","censorship","","","30767","breakingnews","","","76414","news","","","77388504","russiannews","","","1663800233516037","statemedia","","","229207","fyp","","","9767","help","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069735090749803782","https://v16m-webapp.tiktokcdn-us.com/cc5f135f3842b4d259cb9fe46ae52854/62462f52/video/tos/useast2a/tos-useast2a-ve-0068c002/5830d58eb0404ed4aadf72a057c409c9/?a=1988&br=2266&bt=1133&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amR3cWc6ZjRlOzMzNzczM0ApOjM8aGRnaTw2NzU3NzYzOmdicGFzcjRfbmJgLS1kMTZzc2E1MzEuYTAtYDZhYDA0YDM6Yw%3D%3D&vl=&vr=",,"","Ksen","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069735072555207429.mp3","4700000","russiaukraine","479.2M","23700","#ukraine #russiaukraine #ukrainerussiaconflict #ukraina🇺🇦 #ukrainerussiacrisis #censorship #breakingnews #news #russiannews #statemedia #fyp #help","72","1024","576","https://www.tiktok.com/@themsinstem/video/7069735090749803782"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/39bffaf50fc8aad4cfd2e2b0a28aebde~c5_720x720.jpeg?x-expires=1648828800&x-signature=peDqH70w6ebn1zsewq3CrZXToqE%3D","610","217700","23","4200000","6904736114286314502","yahoofinance","Yahoo Finance","Yes, we still exist 😂 & we’re the biggest business platform on the planet. 🌎","true","1006","23700","1646066765","560100","false",,,"","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","38970","trump","","","868067","putin","","","22281825","russiaukraine","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069802914558184750","https://v16m-webapp.tiktokcdn-us.com/ae36d253eac2fd8b18b2371051330fe0/62462f21/video/tos/useast5/tos-useast5-ve-0068c001-tx/0586db83136e4bb4946e50bce3214f3b/?a=1988&br=1122&bt=561&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ang5N2Y6ZnBpOzMzZzczNEApOGc3OTNnO2Q3Nzk5OTs4Omc0Mmc0cjQwMmJgLS1kMS9zc2MyYTNgMy1fLTM0XjFeNjU6Yw%3D%3D&vl=&vr=",,"","Yahoo Finance","original sound","true","https://sf16.tiktokcdn-us.com/obj/ies-music-tx/7069802884669524782.mp3","11500000","russiaukraine","479.2M","52500","Former President Donald Trump discusses the Russia/Ukraine conflict and U.S. leadership. #russia #ukraine #trump #putin #russiaukraine","23","1024","576","https://www.tiktok.com/@yahoofinance/video/7069802914558184750"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/824f85256858377ecc8167c086332686~c5_720x720.jpeg?x-expires=1648828800&x-signature=RhfVjBN54u%2FQCgVN%2FXr4SxtE3gw%3D","1616","8633","190","1100000","6625107643379056646","dojc02","DeAnO✅","🇬🇧 
19 
🔧 
Drop me a follow ✅","false","9","7027","1645895542","549700","false",,,"","2465505","worldwar3","","","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","42961498","ukrainerussia","","","229207","fyp","","","88764338","foryoupage","","","20884","viral","","","22281825","russiaukraine","","","1697118828311557","russiaukraineconflict","","","868067","putin","","","6395475","worldwar","","","1637342470396934","fypシ","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069067521902562566","https://v16m-webapp.tiktokcdn-us.com/a3350f0a1490b0fa8d4537f1866b7f36/62462f19/video/tos/useast2a/tos-useast2a-ve-0068c004/6de9cc5ba1a14e728e3993f4564dc77a/?a=1988&br=888&bt=444&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amh0eTU6Zjk4OzMzNzczM0ApZmZlaWVmaTs0NzQ6NTNlZmdlc3BycjRncWFgLS1kMTZzc2NhNDM2Nl80NDAxMV4tYGA6Yw%3D%3D&vl=&vr=",,"","DeAnO✅","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069067517578234629.mp3","5500000","russiaukraine","479.2M","31700","Anonymous are elite 😂 #worldwar3 #ukraine #russia #ukrainerussia #fyp #foryoupage #viral #russiaukraine #russiaukraineconflict #putin #worldwar #fypシ","15","1246","576","https://www.tiktok.com/@dojc02/video/7069067521902562566"
"https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2ff87c20a5a2e626293e1c6ff497a265~c5_720x720.jpeg?x-expires=1648828800&x-signature=3iuQFRJkeqQCcYIMPsDBZcOiZNk%3D","33000","13400","983","1300000","6974583556018930693","j194c165m","bordie","yall gon hate me for this one 
20","false","282","1758","1645741276","489200","false",,,"","451042","ukraine","","","22281825","russiaukraine","","","1653423939853318","russianinvasion","","","1649053308721157","glorytoukraine","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068404952741334318","https://v16m-webapp.tiktokcdn-us.com/13876f41df0e18c56ecb02da3f981b4f/62462f12/video/tos/useast5/tos-useast5-pve-0068-tx/8b1de41d8f8745cc9e69735221cbc49c/?a=1988&br=2112&bt=1056&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzQ3dmg6ZnUzOzMzZzczNEApaDw2ZmQ7NmQ6NzkzPDwzNGdlaWZgcjQwMWBgLS1kMS9zczQtX2MyMC40Yy4uM141M186Yw%3D%3D&vl=&vr=",,"",":>","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7047692195620866822.mp3","2000000","russiaukraine","479.2M","3246","i love you guys #ukraine #russiaukraine #russianinvasion #glorytoukraine","8","1024","576","https://www.tiktok.com/@j194c165m/video/7068404952741334318"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/b914ea85265df4bfd9cf79d655d86dba.jpeg?x-expires=1648828800&x-signature=RU8oRMCmPbeEY3y4bJEKXekYndE%3D","3603","207800","0","16800000","6790008292108141569","akantuka007","Ram Rajchakul","","false","1005","9774","1647066413","464300","false",,,"","7058959762439798810","สงครามรัสเซียยูเครน","","","1591374890687490","รัสเซีย","","","1601782337255426","ยูเครน","","","1595455522322434","สงคราม","","","22281825","russiaukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","1713","war","","","35586","refugee","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7074096377222925594","https://v16m-webapp.tiktokcdn-us.com/01049d9f3689949e134101d575485339/62462f21/video/tos/useast2a/tos-useast2a-pve-0037-aiso/c16eb68daa6a4e54ae10539efdf431be/?a=1988&br=1364&bt=682&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2hmazU6Zjw2OzMzZjgzM0ApOTw0ZGY3Z2VnNzU4OjppOmcub2E1cjRfbmpgLS1kL2Nzcy1hYjRhMjM2XjAuMjVhMDY6Yw%3D%3D&vl=&vr=",,"","เสื้อผ้าแฟชั่น SHOP👗❤️","เสียงต้นฉบับ - ใจร้าย🥀💔","true","https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7003655699062377243.mp3","3600000","russiaukraine","479.2M","5623","#สงครามรัสเซียยูเครน #รัสเซีย #ยูเครน #สงคราม #russiaukraine #russia #ukraine #war #refugee","23","1024","576","https://www.tiktok.com/@akantuka007/video/7074096377222925594"
"https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/b852bfb9c9791fac53f662e185bb3fb1~c5_720x720.jpeg?x-expires=1648828800&x-signature=lFyvdZy3c3OAeyxxNw9bu2gHx0g%3D","144","84600","23","10800000","7034962436214211590","pogchampionsleague","pogchampionsleague","MORE CLIPS ON INSTA AND YOUTUBE","false","398","6399","1645883514","432200","false",,,"","1668822500511749","adinross","","","1682319382298630","adinrossclips","","","22281825","russiaukraine","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7069015857401318661","https://v16m-webapp.tiktokcdn-us.com/0ab2d6e7e8d899a20f2ad884745247be/62462f22/video/tos/useast2a/tos-useast2a-ve-0068c001/cc118dab55964276931eef7d40713fff/?a=1988&br=1196&bt=598&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3FoZDU6Zm42OzMzNzczM0ApOGk8Njw8aWU2Nzs4aTRoNGdebzFfcjRnLWFgLS1kMTZzc19jXzVhLTYxYl41MV8zYGI6Yw%3D%3D&vl=&vr=",,"","pogchampionsleague","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069015844935764741.mp3","4100000","russiaukraine","479.2M","8159","#adinross #adinrossclips #russiaukraine","25","1024","576","https://www.tiktok.com/@pogchampionsleague/video/7069015857401318661"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/ddceaa41c18d866707c20cec063a9dea.jpeg?x-expires=1648828800&x-signature=MaPXI8MqvqEe%2BSAnDGiymxbdlPE%3D","4466","39900","62","618200","6721690492611871749","good_39","Мемас","Цель: 25к.✅
           30к.✅
           35к.✅
           40к.
           50к.","false","63","4798","1646411964","428100","false",,,"","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","73944","z","","","22281825","russiaukraine","","","1689417169436674","зародину🇷🇺","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7071285537880968449","https://v16m-webapp.tiktokcdn-us.com/e02536a3e74c1bd2295ef944d7aeb66e/62462f10/video/tos/alisg/tos-alisg-pve-0037c001/62d68861761143fe86f6a4601ad569c4/?a=1988&br=922&bt=461&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7ThpihzDXq&l=2022033116453001011300621317DAE3DD&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzM4bTM6Zjw3OzMzODczNEApZWhoZDloaWU0NzU7NDM7NGc0Zm9qcjRvLmVgLS1kMS1zczViXy1fNV9jLzEtNTNjMi06Yw%3D%3D&vl=&vr=",,"","Мемас","оригинальный звук","true","https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7071285521502276354.mp3","6700000","russiaukraine","479.2M","31600","На чьей стороне ты? #russia #ukraine #z #russiaukraine #зародину🇷🇺","6","742","576","https://www.tiktok.com/@good_39/video/7071285537880968449"
