"authorMeta/avatar","authorMeta/digg","authorMeta/fans","authorMeta/following","authorMeta/heart","authorMeta/id","authorMeta/name","authorMeta/nickName","authorMeta/signature","authorMeta/verified","authorMeta/video","commentCount","createTime","diggCount","downloaded","effectStickers/0/ID","effectStickers/0/name","hashtags/0/cover","hashtags/0/id","hashtags/0/name","hashtags/0/title","hashtags/1/cover","hashtags/1/id","hashtags/1/name","hashtags/1/title","hashtags/2/cover","hashtags/2/id","hashtags/2/name","hashtags/2/title","hashtags/3/cover","hashtags/3/id","hashtags/3/name","hashtags/3/title","hashtags/4/cover","hashtags/4/id","hashtags/4/name","hashtags/4/title","hashtags/5/cover","hashtags/5/id","hashtags/5/name","hashtags/5/title","hashtags/6/cover","hashtags/6/id","hashtags/6/name","hashtags/6/title","hashtags/7/cover","hashtags/7/id","hashtags/7/name","hashtags/7/title","hashtags/8/cover","hashtags/8/id","hashtags/8/name","hashtags/8/title","hashtags/9/cover","hashtags/9/id","hashtags/9/name","hashtags/9/title","hashtags/10/cover","hashtags/10/id","hashtags/10/name","hashtags/10/title","hashtags/11/cover","hashtags/11/id","hashtags/11/name","hashtags/11/title","hashtags/12/cover","hashtags/12/id","hashtags/12/name","hashtags/12/title","id","mediaUrls/0","musicMeta/musicAlbum","musicMeta/musicAuthor","musicMeta/musicName","musicMeta/musicOriginal","musicMeta/playUrl","playCount","searchHashtag/name","searchHashtag/views","shareCount","text","videoMeta/duration","videoMeta/height","videoMeta/width","webVideoUrl"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/8f1f28483d4d3acfc0855daa4f63b49d~c5_720x720.jpeg?x-expires=1648839600&x-signature=XsCWz4yL0fiuVYD60pkvCcdidHM%3D","80","204900","0","4500000","7000354091813979141","nato.1234","🔥🔥","","false","7","142200","1644689661","4200000","false",,,"","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","80013775","russiavsukraine","","","1713","war","","","2085220","ww3","","","20884","viral","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7063888303069646085","https://v16m-webapp.tiktokcdn-us.com/f9f3b09c42bf0d7268b214ca81804e97/624651c6/video/tos/useast2a/tos-useast2a-ve-0068c003/5f2022acf43248418885eef03ad31a21/?a=1988&br=1536&bt=768&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2lzaDU6Zjh5OzMzNzczM0ApZTo6ZjszNGVoNzg7NTM5OGc1ajQtcjQwYzBgLS1kMTZzczQzXjEvXl8uLTBeM2NfXl86Yw%3D%3D&vl=&vr=","","🔥🔥","origineel geluid","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7063888307909856005.mp3","43500000","RussiavsUkraine","723.7M","139700","#russia #ukraine #russiavsukraine #war #ww3 #viral","81","1024","576","https://www.tiktok.com/@nato.1234/video/7063888303069646085"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/46c370a8b87229e44f588d6f77d5dc21.jpeg?x-expires=1648839600&x-signature=TX8xMnfIEWCy5L2QMq%2F%2Bb0QzeBA%3D","114100","582800","119","17100000","6865613805411189765","itsosk","itsosk","Quality content just for you 😩
DM me bc I respond","false","709","116200","1646914893","2700000","false",,,"","868067","putin","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","72058718","saveukraine","","","5927","sad","","","80013775","russiavsukraine","","","66519321","ukrainevsrussia","","","66653250","helpukraine","","","1671019557581830","stopputin","","","1677190279668742","standwithukraine","",,,,,,,,,,,,,"7073445599529520385","https://v16m-webapp.tiktokcdn-us.com/3e4a589eb84685d84e3bd2b65c55abb7/6246517f/video/tos/alisg/tos-alisg-pve-0037c001/51c734441b474ae3aa3c984676eea06f/?a=1988&br=1932&bt=966&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=anc5bjc6ZnN4OzMzODczNEApN2g0ZjY3NWU6Nzk2Zzk0OGdibDMvcjQwbGhgLS1kMS1zczFjLV80XmM2Li8wX18wYS06Yw%3D%3D&vl=&vr=","","Icy Trey","original sound","true","https://sf16.tiktokcdn-us.com/obj/ies-music-tx/7063649925846059823.mp3","16000000","RussiavsUkraine","723.7M","41700","look what you’ve done putin 🤡 #putin #russia #ukraine #saveukraine #sad #russiavsukraine #ukrainevsrussia #helpukraine #stopputin #standwithukraine","11","1024","576","https://www.tiktok.com/@itsosk/video/7073445599529520385"
"https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/59caafbe1f48475e3c8fffe8af9ae4da.jpeg?x-expires=1648839600&x-signature=M7QcU83ya7KH7vY1c7h29Ar8W0s%3D","16900","51900","2050","3100000","7017414285753631746",".dixzay","Dizay","I’m 20 
I make edits for fun 😎
Ig : definitely_not_yazed","false","305","17100","1645728053","1700000","false",,,"","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","","","80013775","russiavsukraine","","","1713","war","","","6395475","worldwar","","","2465505","worldwar3","","","2085220","ww3","","","932663","vladimirputin","","","868067","putin","","","4167","sigma","","https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/033a9abe78f61c0e613abfac3c7ab02c.png","23864","meme","","","5424","funny","Oh, we have to laugh...","","20884","viral","","7068348161948994818","https://v16m-webapp.tiktokcdn-us.com/314c6f7c5f4b4b7afddb0cee82a65fba/6246517d/video/tos/alisg/tos-alisg-pve-0037c001/e976e0ac1be845c48161920ce4e467e7/?a=1988&br=1074&bt=537&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3loajs6ZmV3OzMzODczNEApZjM6NzM5ZDxkN2Y2PGQ0OGdrLy4zcjRfL19gLS1kMS1zc19gYTRjMl5iMGNhYDNhLzY6Yw%3D%3D&vl=&vr=","","Dizay","Russia vs ukr","true","https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7068348162708212481.mp3","12200000","RussiavsUkraine","723.7M","12900","🤨 #russia #ukraine #russiavsukraine #war #worldwar #worldwar3 #ww3 #vladimirputin #putin #sigma #meme #funny #viral","8","720","540","https://www.tiktok.com/@.dixzay/video/7068348161948994818"
"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/6b138d1e0919ea0be7c80b62ac6856a3~c5_720x720.jpeg?x-expires=1648839600&x-signature=rDDdUprK5Qo79OLLLwmBCTgm9nY%3D","2084","37300","14","1400000","7026379396681122817","_sherayy","AinaIsBroken.","IGN: |•Yass
ID: 909438635
IGN: |•Aina
ID: 914128610","false","63","13200","1646138489","1200000","false",,,"","66519321","ukrainevsrussia","","","80013775","russiavsukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","451042","ukraine","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7070110971087392026","https://v16m-webapp.tiktokcdn-us.com/399b3772a33a89a48f50951f184ff722/62465181/video/tos/useast2a/tos-useast2a-pve-0037-aiso/98aff9de756d44cfa5aa87925090e659/?a=1988&br=2418&bt=1209&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzNrOjw6Zmw0OzMzZjgzM0ApaDk5ODtkZTw3N2ZkO2ZmNWdkMC40cjRfLWNgLS1kL2NzczJgXzIwMS5jLWAwLi5jLS46Yw%3D%3D&vl=&vr=","SOUR","Olivia Rodrigo","traitor","false","https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/8a215cf814b74b13ac0fb05bb9bc0911","12100000","RussiavsUkraine","723.7M","6979","You Betrayed Me.✌ #ukrainevsrussia #russiavsukraine #russia #ukraine","12","576","1024","https://www.tiktok.com/@_sherayy/video/7070110971087392026"
"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/addb288cf424d81ac2e2506c34178cda~c5_720x720.jpeg?x-expires=1648839600&x-signature=HBKdQ%2BWsuHwq25zMpOYBFuIJtWM%3D","1147","76800","17","3200000","6789636101403395073","_xz.ace","Ace 🌠","Hi!
Wjhernandez@gbox.ncf.edu.ph 📩
ML ID: 442589164","false","28","22200","1645432986","907000","false",,,"","20898","ad","","","80013775","russiavsukraine","","","2465505","worldwar3","","","88764338","foryoupage","","","88764338","foryoupage","","","1713","war","","","72381","trends","",,,,,,,,,,,,,,,,,,,,,,,,,"7067080862457777434","https://v16m-webapp.tiktokcdn-us.com/6a15c8896772a07e71ed71e81b00f6b1/624651a0/video/tos/useast2a/tos-useast2a-pve-0037-aiso/1b39707597e94bf6be80b37d71fc6531/?a=1988&br=744&bt=372&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzpsbWk6ZmRuOzMzZjgzM0ApZ2ZlaDs6ZWQ2N2VmNGczZWczanBlcjQwczZgLS1kL2Nzc2EwLTJhNS8yMGMyYjJfYF86Yw%3D%3D&vl=&vr=","","-DimsssXd","suara asli - Heinz Güderian","true","https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7054313137893427994.mp3","8300000","RussiavsUkraine","723.7M","16300","#ad #russiavsukraine #worldwar3 #FORYOUPAGE #foryoupage #war #trends pray for Ukraine! 🇵🇭 No! To wwr3.","43","1024","576","https://www.tiktok.com/@_xz.ace/video/7067080862457777434"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1d8af9ee4b9700d1ac5802fd2be2473c~c5_720x720.jpeg?x-expires=1648839600&x-signature=mAnwc5Bc%2BJmTZqwlbt9p0WxQng4%3D","219","7251","0","1300000","7052015979010294790","freakwithnojob","FWNJ","i’m just trying to rest in peace while I am still alive","false","36","2034","1645868839","888600","false",,,"","229207","fyp","","","88764338","foryoupage","","","1615683931518982","wartok","","","451042","ukraine","","","2035517","prayforukraine","","","80013775","russiavsukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/869537d80734587be98500fe3d2442b7.jpeg","4231","love","Spread the #Love this Valentine's Day ❤️.","https://p16-amd-va.tiktokcdn.com/obj/musically-maliva-obj/1624695329476613.PNG","166033","couplelove","Show us how sweet you are between you &amp; your boyfriend / Girlfriend!  The more creative, the better! The TikTok team will choose the most creative one to give out Amazon coupon for ₹ 35,000 Rupees! ","","151602","goviral","","","861413","stopwar","",,,,,,,,,"7068952827837615366","https://v16m-webapp.tiktokcdn-us.com/c2abb34f93167bac7b953d3d884436f8/62465181/video/tos/useast2a/tos-useast2a-ve-0068c001/60b23886ba90445f91bf77ecc52b3807/?a=1988&br=684&bt=342&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=am93ZjM6Zjp5OzMzNzczM0ApaWQ3OjY7PGQ8NzQ6NzU0Z2dzbnNkcjRvYmBgLS1kMTZzc2M1MjRjNDUxMWFeLmI1MzY6Yw%3D%3D&vl=&vr=","","🐻","Fairytale","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052692538280758021.mp3","3900000","RussiavsUkraine","723.7M","7311","since u keep reporting my last video #fyp #foryoupage #wartok  #ukraine #prayforukraine #russiavsukraine #russia #love #couplelove #goviral #stopwar","12","1024","576","https://www.tiktok.com/@freakwithnojob/video/7068952827837615366"
"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/7dd6c4272b2b7305e92b1842387bbcb3~c5_720x720.jpeg?x-expires=1648839600&x-signature=sBP6jEttFySp%2FriKXiXQ7ip8hdg%3D","5266","6179","108","839700","6939825064812971009","cew.o.o","🧛","Plsss help me to reach 10k!","false","183","5847","1645710608","817900","false",,,"","451042","ukraine","","","2035517","prayforukraine","","","80013775","russiavsukraine","","","229207","fyp","","","1637342470396934","fypシ","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7068273236194217243","https://v16m-webapp.tiktokcdn-us.com/412e2b7f3264216d49bbb4e5e61b7ceb/6246518e/video/tos/useast2a/tos-useast2a-pve-0037-aiso/53723a72ba834d8b87f3842f3e932bea/?a=1988&br=1164&bt=582&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajgzZTw6ZnNyOzMzZjgzM0ApOjg7ZztkZmQ3NzY8Ozw5aWdhY2hgcjRfal9gLS1kL2NzczQ1NWFfNS4zMi4xL2IwLi46Yw%3D%3D&vl=&vr=","SOUR","Olivia Rodrigo","traitor","false","https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/8a215cf814b74b13ac0fb05bb9bc0911","4300000","RussiavsUkraine","723.7M","6028","Plsss pray for the Ukraine #ukraine #prayforukraine #russiavsukraine #fyp #fypシ","25","576","768","https://www.tiktok.com/@cew.o.o/video/7068273236194217243"
"https://p16-sign-va.tiktokcdn.com/tos-useast2a-avt-0068-giso/addb288cf424d81ac2e2506c34178cda~c5_720x720.jpeg?x-expires=1648839600&x-signature=HBKdQ%2BWsuHwq25zMpOYBFuIJtWM%3D","1147","76800","17","3200000","6789636101403395073","_xz.ace","Ace 🌠","Hi!
Wjhernandez@gbox.ncf.edu.ph 📩
ML ID: 442589164","false","28","18900","1645361017","796900","false",,,"","20898","ad","","","1713","war","","","80013775","russiavsukraine","","","2465505","worldwar3","","","88764338","foryoupage","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7066771758640041243","https://v16m-webapp.tiktokcdn-us.com/572e74a797162a35791a44ff6be340a0/624651a0/video/tos/useast2a/tos-useast2a-pve-0037-aiso/acf5a9c3e2e94bf9883de568ce6ce364/?a=1988&br=1070&bt=535&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2lwZzg6Zmc2OzMzZjgzM0ApOzQ4PDk2Ojs7NzkzOmQzZmdrLXNfcjQwYTZgLS1kL2Nzcy4wYzReNmE1NF9eMDUyYGI6Yw%3D%3D&vl=&vr=","","-DimsssXd","suara asli - Heinz Güderian","true","https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7054313137893427994.mp3","8300000","RussiavsUkraine","723.7M","16800","#ad #war #russiavsukraine #worldwar3 #foryoupage pray! 🇵🇭 For Ukraine! :<","43","1024","576","https://www.tiktok.com/@_xz.ace/video/7066771758640041243"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e15d2b39f358c6664692385530f1e725~c5_720x720.jpeg?x-expires=1648839600&x-signature=1ZA0u%2FhYj%2FX%2BqOGRNGFc79TWe48%3D","103","8831","21","836800","6932885613117162501","ewa_le2","Ewa_le2","Insta : ewa_le2","false","5","6571","1645099788","672200","false",,,"","451042","ukraine","","","14927","russia","Для большего шанса попасть в #Отобранное и найти мьюзеров из Вашей страны, ставьте под своими видео #Russia, не забывайте!!","","1713","war","","","66519321","ukrainevsrussia","","","80013775","russiavsukraine","","","2901349","lviv","","","6858700","joebiden","","","868067","putin","","","42164","foryou","","","229207","fyp","",,,,,,,,,,,,,"7065649782789901573","https://v16m-webapp.tiktokcdn-us.com/5f240c0662fed4afafeb54d7dfccf6ae/62465186/video/tos/useast2a/tos-useast2a-ve-0068c003/0fd2614ab9964e9fa1032d986b57bcdf/?a=1988&br=3052&bt=1526&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=amppbGQ6ZjQ2OzMzNzczM0ApaGY8ZWloNjtlNzloNTdpZmdyMGBucjRnajRgLS1kMTZzczZjNi9iLS8vLjMwYC8yMV46Yw%3D%3D&vl=&vr=","","Ewa_le2","original sound","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7065649749743209221.mp3","5300000","RussiavsUkraine","723.7M","4271","Lviv, February 2022 🇺🇦 #ukraine #russia #war #ukrainevsrussia #russiavsukraine #lviv #joebiden #putin #foryou #fyp","17","1036","576","https://www.tiktok.com/@ewa_le2/video/7065649782789901573"
"https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/3d93b47e8074de46572b80028af06b3a~c5_720x720.jpeg?x-expires=1648839600&x-signature=p2IrZCs4Xbn7seAGMK%2BcwPBEYkA%3D","1180","7772","63","654000","7014877160704295941","spiderman.1.is.hot","hey","follow me I dare u","false","67","14800","1645880253","640600","false","1311036","lashes","","451042","ukraine","","","1713","war","","","229207","fyp","","","42164","foryou","","","88764338","foryoupage","","","80013775","russiavsukraine","","","20884","viral","","","14051","pray","","","2035517","prayforukraine","","","1691124519081990","ukrain🇺🇦🇺🇦","",,,,,,,,,,,,,"7069001844877544747","https://v16m-webapp.tiktokcdn-us.com/d98c29586f186f210a7810b7951ed52b/6246517c/video/tos/useast5/tos-useast5-pve-0068-tx/4b31a1d848784866b45ec99d27ed930c/?a=1988&br=680&bt=340&cd=0%7C0%7C1%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=XY53A3E7nz7Th_LzzDXq&l=20220331191220010113006244051122D2&lr=tiktok_m&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2ltbDM6ZmY1OzMzZzczNEApZDVkMzQ0NTtnNztmZTM7ZWdscTEzcjQwM2FgLS1kMS9zczEuMWFeYF5jNDIyMjMvYTY6Yw%3D%3D&vl=&vr=","","spam - block","bored","true","https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7043584839580683014.mp3","2600000","RussiavsUkraine","723.7M","6425","you’re gonna pay for this Russia… innocent children…🙏🏼🙏🏼#ukraine#war#fyp#foryou#foryoupage#russiavsukraine#viral#pray#prayforukraine#ukrain🇺🇦🇺🇦","7","1024","576","https://www.tiktok.com/@spiderman.1.is.hot/video/7069001844877544747"
